id;iso3_code
201;AFG
202;ALB
3;ISL
203;DZA
204;AND
205;AGO
206;ATG
207;ARG
208;ARM
209;AUS
210;AUT
211;AZE
212;BHS
213;BHR
214;BGD
215;BRB
216;BLR
217;BEL
218;BLZ
219;BEN
220;BTN
221;BOL
222;BIH
223;BWA
224;BRA
225;BRN
226;BGR
227;BFA
228;BDI
229;CPV
230;KHM
231;CMR
232;CAN
233;CAF
234;TCD
235;CHL
236;CHN
237;COL
238;COM
239;COG
240;COK
241;CRI
242;HRV
243;CUB
244;CYP
245;CZE
246;CIV
247;PRK
248;COD
249;DNK
250;DJI
251;DMA
252;DOM
253;ECU
254;EGY
255;SLV
256;GNQ
257;ERI
258;EST
259;ETH
260;FJI
261;FIN
262;FRA
263;GAB
264;GMB
265;GEO
266;GBR
267;DEU
268;GHA
269;GRC
270;GRD
271;GTM
272;GIN
273;GNB
274;GUY
275;HTI
276;VAT
277;HND
278;HUN
279;IND
280;IDN
281;IRN
282;IRQ
283;IRL
284;ISR
285;ITA
286;JAM
287;JPN
288;JOR
289;KAZ
290;KEN
291;KIR
292;KWT
293;KGZ
294;LAO
295;LVA
296;LBN
297;LSO
298;LBR
299;LBY
300;LIE
301;LTU
302;LUX
303;MDG
304;MWI
305;MYS
306;MDV
307;MLI
308;MLT
309;MHL
310;MRT
311;MUS
312;MEX
313;FSM
314;MCO
315;MNG
316;MNE
317;MAR
318;MOZ
319;MMR
320;NAM
321;NRU
322;NPL
323;NLD
324;NZL
325;NIC
326;NER
327;NGA
328;NIU
329;NOR
330;OMN
331;PAK
332;PLW
333;PAN
334;PNG
335;PRY
336;PER
337;PHL
338;POL
339;PRT
340;QAT
341;KOR
342;MDA
343;ROU
344;RUS
345;RWA
346;KNA
347;LCA
348;VCT
349;WSM
350;SMR
351;STP
352;SAU
353;SEN
354;SRB
355;SYC
356;SLE
357;SGP
358;SVK
359;SVN
360;SLB
361;SOM
362;ZAF
363;SSD
364;ESP
365;LKA
366;PSE
367;SDN
368;SUR
369;SWE
370;CHE
371;SYR
372;TJK
373;THA
374;MKD
375;TLS
376;TGO
377;TON
378;TTO
379;TUN
380;TUR
381;TKM
382;TUV
383;UGA
384;UKR
385;ARE
386;TZA
387;USA
388;URY
389;UZB
390;VUT
391;VEN
392;VNM
393;YEM
394;ZMB
395;ZWE
396;HKG
397;TWN
398;MTQ
399;GIB
400;REU
401;CUW
402;PYF
403;SWZ
404;NCL
405;GUF
406;BMU
407;ABW
408;JEY
409;MYT
410;IMN
411;CYM
412;GRL
413;FRO
414;ASM
415;TCA
416;MNP
417;FLK
418;GLP
419;GUM
420;MAF
421;MSR
422;SXM
423;BLM
424;VGB
425;SPM
426;AIA
427;WLF
428;NFK
429;PCN
430;CXR
431;SGS
432;MAC
433;PRI
434;VIR
